URL,Status,Response Code,Protocol,Method,Content-Type,Client Address,Remote Address,Exception,Request Start Time,Request End Time,Response Start Time,Response End Time,Duration (ms),DNS Duration (ms),Connect Duration (ms),SSL Duration (ms),Request Duration (ms),Response Duration (ms),Latency (ms),Speed (KB/s),Request Speed (KB/s),Response Speed (KB/s),Request Header Size (bytes),Request Body Size (bytes),Response Header Size (bytes),Response Body Size (bytes),Request Compression,Response Compression
https://clientservices.googleapis.com,COMPLETE,-1,https,CONNECT,,/127.0.0.1,clientservices.googleapis.com/58.254.137.226,,12 四月 2021 11:42:55,,,12 四月 2021 11:46:56,240481,0,31,,,,,0.01953125,,,253,,0,4010,,
http://mermaid.ximalaya.com/config/apm/v5/base,COMPLETE,200,http,POST,application/json; charset=UTF-8,/192.168.112.44,mermaid.ximalaya.com/101.226.208.33,,12 四月 2021 11:44:54,12 四月 2021 11:44:54,12 四月 2021 11:44:54,12 四月 2021 11:44:54,156,15,16,,0,0,125,10.584961,0.0,0.0,207,293,348,843,,-5.6%
http://mermaid.ximalaya.com/config/apm/v5/base,COMPLETE,200,http,POST,application/json; charset=UTF-8,/192.168.112.44,mermaid.ximalaya.com/101.226.208.33,,12 四月 2021 11:44:54,12 四月 2021 11:44:54,12 四月 2021 11:44:54,12 四月 2021 11:44:54,218,0,31,,0,0,187,7.6464844,0.0,0.0,207,309,348,843,,-5.6%
http://gslbtx.ximalaya.com/linkeye-cloud/httpdns/v3/init/1618199091909?app=com.ximalaya.ting.android&appId=1&device=android&version=1639e,COMPLETE,200,http,GET,application/json;charset=UTF-8,/192.168.112.44,gslbtx.ximalaya.com/118.25.119.177,,12 四月 2021 11:44:54,12 四月 2021 11:44:54,12 四月 2021 11:44:54,12 四月 2021 11:44:54,78,0,31,,0,0,47,17.66504,0.0,0.0,966,,356,89,,
http://mobile.ximalaya.com/dog-portal/checkOld2/all/1618199091934?appVersion=6.6.21.3&packageName=com.ximalaya.ting.android&signature=a6cb025da0087127e38f5dd74a813a72,COMPLETE,200,http,GET,application/json;charset=UTF-8,/192.168.112.44,mobile.ximalaya.com/123.125.110.154,,12 四月 2021 11:44:54,12 四月 2021 11:44:54,12 四月 2021 11:44:54,12 四月 2021 11:44:54,47,0,0,,0,0,47,47.33203,0.0,0.0,1029,,475,774,,66.6%
http://mermaid.ximalaya.com/config/ts/v1/currTime,COMPLETE,200,http,GET,application/json;charset=UTF-8,/192.168.112.44,mermaid.ximalaya.com/101.226.208.33,,12 四月 2021 11:44:54,12 四月 2021 11:44:54,12 四月 2021 11:44:54,12 四月 2021 11:44:54,78,0,31,,0,0,47,6.9853516,0.0,0.0,141,,347,70,,-133.3%
http://mobile.ximalaya.com/abtest-portal/sync/1618199092093?signature=fb215b4dc867824838203fbda626a11f&appId=1,COMPLETE,200,http,POST,application/json;charset=UTF-8,/192.168.112.44,mobile.ximalaya.com/123.125.110.154,,12 四月 2021 11:44:54,12 四月 2021 11:44:54,12 四月 2021 11:44:54,12 四月 2021 11:44:54,93,0,0,,0,0,93,52.53418,0.0,0.0,1021,0,531,3451,,80.8%
"http://mobile.ximalaya.com/football-portal/diff3/batch?groupNames=community,account,android,ad,sys,tob,toc,live,fufei,mermaid&signature=8609914f336a87a069c992f9109371c0&appId=1&ts=1618199092110",COMPLETE,200,http,POST,application/json;charset=UTF-8,/192.168.112.44,mobile.ximalaya.com/123.125.110.154,,12 四月 2021 11:44:54,12 四月 2021 11:44:54,12 四月 2021 11:44:54,12 四月 2021 11:44:54,203,0,0,,0,0,203,10.578125,0.0,0.0,1126,359,475,239,,60.4%
http://dns.ximalaya.com/xdns/iplist,COMPLETE,200,http,GET,text/plain;charset=ISO-8859-1,/192.168.112.44,dns.ximalaya.com/140.207.215.228,,12 四月 2021 11:44:54,12 四月 2021 11:44:54,12 四月 2021 11:44:54,12 四月 2021 11:44:54,62,0,31,,0,0,31,12.994141,0.0,0.0,155,,413,257,,50.2%
http://m.ximalaya.com/starwar/task/listen/serverTime,COMPLETE,200,http,GET,application/json,/192.168.112.44,m.ximalaya.com/123.125.110.164,,12 四月 2021 11:44:54,12 四月 2021 11:44:54,12 四月 2021 11:44:54,12 四月 2021 11:44:54,47,16,0,,0,0,31,33.140625,0.0,0.0,937,,363,295,,6.6%
http://mobile.ximalaya.com/firework-portal/v5/sync?appId=1,COMPLETE,200,http,POST,application/json;charset=UTF-8,/192.168.112.44,mobile.ximalaya.com/123.125.110.154,,12 四月 2021 11:44:54,12 四月 2021 11:44:54,12 四月 2021 11:44:54,12 四月 2021 11:44:54,187,,,,0,0,187,27.426758,0.0,0.0,991,409,382,3470,,77.1%
http://119.188.193.232/mobile/user/official/list,COMPLETE,200,http,GET,text/plain;charset=UTF-8,/192.168.112.44,119.188.193.232/119.188.193.232,,12 四月 2021 11:44:54,12 四月 2021 11:44:54,12 四月 2021 11:44:54,12 四月 2021 11:44:54,63,0,16,,0,0,47,26.769531,0.0,0.0,937,,591,199,,21.3%
http://123.125.46.30/front/v1/abtest?deviceId=654a4727-11c8-3cbf-8263-eec0d985e68a&search_version=2.6,COMPLETE,200,http,GET,text/plain;charset=UTF-8,/192.168.112.44,123.125.46.30/123.125.46.30,,12 四月 2021 11:44:54,12 四月 2021 11:44:54,12 四月 2021 11:44:54,12 四月 2021 11:44:54,46,0,0,,0,0,46,35.66504,0.0,0.0,992,,470,218,,6.4%
http://123.125.46.30/hotWordBillboard/tab/abTest,COMPLETE,200,http,GET,text/html;charset=utf-8,/192.168.112.44,123.125.46.30/123.125.46.30,,12 四月 2021 11:44:54,12 四月 2021 11:44:54,12 四月 2021 11:44:54,12 四月 2021 11:44:54,47,0,0,,0,16,31,29.794922,0.0,30.211914,939,,425,70,,-133.3%
http://123.125.110.161/chaos-notice-web/v1/message/preview/list?onlyNeedUnreadCount=true,COMPLETE,200,http,GET,application/json;charset=UTF-8,/192.168.112.44,123.125.110.161/123.125.110.161,,12 四月 2021 11:44:54,12 四月 2021 11:44:54,12 四月 2021 11:44:54,12 四月 2021 11:44:54,63,0,16,,0,0,47,25.591797,0.0,0.0,977,,569,105,,42.9%
http://android.bugly.qq.com/rqd/async?aid=025bfbac-1e98-4689-9f6a-a296a4204a49,COMPLETE,200,http,POST,,/192.168.112.44,android.bugly.qq.com/220.194.118.81,,12 四月 2021 11:44:54,12 四月 2021 11:44:54,12 四月 2021 11:44:54,12 四月 2021 11:44:54,173,16,0,,0,0,157,9.962891,0.0,0.0,559,955,121,130,,
http://112.65.44.35/config/ts/v2/tracks/cdn/1/android,COMPLETE,200,http,POST,application/json;charset=UTF-8,/192.168.112.44,112.65.44.35/112.65.44.35,,12 四月 2021 11:44:54,12 四月 2021 11:44:54,12 四月 2021 11:44:54,12 四月 2021 11:44:54,157,0,15,,0,0,142,10.020508,0.0,0.0,994,113,347,157,,-33.1%
http://123.125.110.161/mobile/v1/no_read/ts-1618199092528?code=43_110000_1100&device=android&squareTabLastReadMillisecond=1617622772783&uid=195711234&version=6.6.21,COMPLETE,200,http,GET,text/plain;charset=UTF-8,/192.168.112.44,123.125.110.161/123.125.110.161,,12 四月 2021 11:44:54,12 四月 2021 11:44:54,12 四月 2021 11:44:54,12 四月 2021 11:44:54,47,0,0,,0,0,47,37.81543,0.0,0.0,1053,,547,220,,34.5%
http://123.125.110.161/mobile/homePage/ts-1618199092528?device=android&uid=195711234,COMPLETE,200,http,GET,text/plain;charset=UTF-8,/192.168.112.44,123.125.110.161/123.125.110.161,,12 四月 2021 11:44:54,12 四月 2021 11:44:54,12 四月 2021 11:44:54,12 四月 2021 11:44:54,47,0,0,,0,0,47,77.708984,0.0,0.0,973,,519,2248,,50.4%
http://123.125.110.161/minor-protection-web/minorProtection/status/ts-1618199092535?deviceId=654a4727-11c8-3cbf-8263-eec0d985e68a,COMPLETE,200,http,GET,text/plain;charset=UTF-8,/192.168.112.44,123.125.110.161/123.125.110.161,,12 四月 2021 11:44:54,12 四月 2021 11:44:54,12 四月 2021 11:44:54,12 四月 2021 11:44:54,16,0,0,,0,0,16,101.37891,0.0,0.0,1018,,547,96,,-29.7%
http://101.226.208.34/collector/v1,COMPLETE,200,http,POST,text/plain;charset=ISO-8859-1,/192.168.112.44,101.226.208.34/101.226.208.34,,12 四月 2021 11:44:54,12 四月 2021 11:44:54,12 四月 2021 11:44:55,12 四月 2021 11:44:55,251,0,16,,0,0,235,7.796875,0.0,0.0,996,498,402,108,13.4%,-47.9%
http://mobile.tx.ximalaya.com/mobile-accident/accident/announcement/client/query/ts-1618199092562,COMPLETE,200,http,GET,text/plain;charset=UTF-8,/192.168.112.44,mobile.tx.ximalaya.com/129.211.154.130,,12 四月 2021 11:44:54,12 四月 2021 11:44:54,12 四月 2021 11:44:54,12 四月 2021 11:44:54,79,0,32,,0,0,47,17.045898,0.0,0.0,982,,342,55,,
https://123.125.46.30,COMPLETE,-1,https,CONNECT,,/192.168.112.44,123.125.46.30/123.125.46.30,,12 四月 2021 11:44:54,,,12 四月 2021 11:44:55,1109,0,0,,,,,6.548828,,,120,1224,0,6094,,
http://211.95.35.117/api/v1/realtime,COMPLETE,200,http,POST,text/plain;charset=UTF-8,/192.168.112.44,211.95.35.117/211.95.35.117,,12 四月 2021 11:44:54,12 四月 2021 11:44:54,12 四月 2021 11:44:55,12 四月 2021 11:44:55,188,0,16,,0,0,172,9.323242,0.0,0.0,1127,184,418,66,16.0%,-153.8%
http://mwsa.ximalaya.com/vip/check/user/ts-1618199092626,COMPLETE,200,http,GET,application/json;charset=UTF-8,/192.168.112.44,mwsa.ximalaya.com/123.125.46.30,,12 四月 2021 11:44:54,12 四月 2021 11:44:54,12 四月 2021 11:44:54,12 四月 2021 11:44:54,62,0,0,,0,0,62,22.176758,0.0,0.0,941,,393,74,,-117.6%
https://123.125.46.45,COMPLETE,-1,https,CONNECT,,/192.168.112.44,123.125.46.45/123.125.46.45,,12 四月 2021 11:44:54,,,12 四月 2021 11:44:55,828,0,0,,,,,8.314453,,,120,1200,0,5730,,
http://119.188.193.232/lamia/v1/wealthgrade/smallcoverpath,COMPLETE,200,http,GET,application/json;charset=UTF-8,/192.168.112.44,119.188.193.232/119.188.193.232,,12 四月 2021 11:44:54,12 四月 2021 11:44:54,12 四月 2021 11:44:55,12 四月 2021 11:44:55,63,0,15,,0,0,48,47.370117,0.0,0.0,947,,566,1543,,74.2%
